Pete Sampras,801
Andre Agassi,710
Stefan Edberg,644
Michael Chang,630
Patrick Rafter,566
Thomas Muster,553
Jonas Bjorkman,553
Boris Becker,551
Jim Courier,543
Todd Martin,538
Mark Philippoussis,527
Cedric Pioline,521
Yevgeny Kafelnikov,512
Ivan Lendl,512
John Mcenroe,497
Richard Krajicek,493
Michael Stich,491
Magnus Larsson,484
Goran Ivanisevic,458
Alexander Volkov,449
Andrei Medvedev,433
Marcelo Rios,413
Greg Rusedski,413
Jimmy Connors,409
Gustavo Kuerten,397
Brad Gilbert,391
Wally Masur,388
Thomas Enqvist,388
Karel Novacek,388
Aaron Krickstein,388
Wayne Ferreira,387
Sergio Bruguera,387
Javier Sanchez,387
David Wheaton,387
Jakob Hlasek,386
Emilio Sanchez,386
Paul Haarhuis,368
Petr Korda,363
Arnaud Boetsch,360
Jaime Yzaga,357
Tim Henman,355
Carlos Moya,354
Malivai Washington,337
Byron Black,337
Alex Corretja,337
Vince Spadea,332
Daniel Vacek,332
Guy Forget,326
Bernd Karbacher,326
Jan Siemerink,317
Tommy Haas,313
Richard Fromberg,310
Thomas Johansson,306
Nicolas Escude,306
Magnus Norman,306
Patrick Mcenroe,301
Joern Renzenbrink,301
Jay Berger,301
Jamie Morgan,301
Darren Cahill,301
Nicolas Kiefer,300
Marat Safin,300
Carlos Costa,291
Todd Woodbridge,290
Scott Draper,280
Hernan Gumy,280
Carl-Uwe Steeb,280
Amos Mansdorf,280
Luiz Mattar,267
Justin Gimelstob,267
Felix Mantilla,267
Marc-Kevin Goellner,254
Jim Grabb,254
Jared Palmer,254
Todd Witsken,250
Kevin Curren,250
John Van Lottum,250
Jan Kroslak,250
Gabriel Markus,250
Fabrice Santoro,248
Slava Dosedel,237
Jonas B. Svensson,237
Jiri Novak,237
Derrick Rostagno,237
Chuck Adams,237
Andrei Chesnokov,232
Michael Kohlmann,231
Gilad Bloom,231
Arnaud Clement,231
Jeff Tarango,216
Sargis Sargsian,215
Michael Tebbutt,215
Henrik Holm,215
Martin Damm,214
Xavier Malisse,208
Sergio Cortes,208
Roger Smith,208
Paul Annacone,208
Pablo Campana,208
Lucas Arnold Ker,208
Lleyton Hewitt,208
Fredrik Jonsson,208
Mark Woodforde,198
Jason Stoltenberg,198
Francisco Clavet,198
Marcos Ondruska,193
Kenneth Carlsen,193
Gianluca Pozzi,193
Karol Kucera,189
Javier Frana,189
Bohdan Ulihrach,189
Andrey Cherkasov,189
Thierry Champion,188
Sebastien Lareau,188
Omar Camporese,188
Oliver Gross,188
Jerome Golmard,188
Jan-Michael Gambill,188
Henri Leconte,188
David Nainkin,188
Christo Van Rensburg,188
Adrian Voinea,188
Hendrik Dreekmann,168
Richey Reneberg,163
Patrik Kuhnen,158
Nicolas Pereira,158
Mikael Tillstrom,158
Mats Wilander,158
